7000 9266987
33352522335248085470737081994100475378532915497012307324859934267540404126883666586890864531402100 1119665209436784650943429309255708058411831415837922073760875047279137185333956021575044399195178
22215943182347031224350626652604695504622782137322521706268588560820491430691424247796380336535083 11288769040581401968730840011213468875547585020710838701167887538095041903811774267846680995904202
29123050221047732064353404827748385962966505589308696239311923941749827341753155163600189857686623 7625790195525327009011658034841827907829814782342396598024452768825108686265003384857625011725149
22131107556129389091243018156647572973997623337305833124364409594711100517535975374380049995059148 11516577824873983550813417267027142909742631870651211726192355710024388871935900943478780162416289
30257776501428058035191264985869490169081539648061250855644861036049687479809708832926676480346639 4551408619558244533438950444447415215326443339455142973311227242710040894821481676834464618206672
20383618446086886956766496871088758464354468503146146546993607426741685066520425680399387681809269 2458023978294775619044562558238342791851128791776777644921065599124800658511955156286920375426658
17274003850668449942772182789752300514973050985501379204093847266952174339993320242411864421561236 10592416460300261834544019318125052846745209425378962196550433118635755870506085682195225243007237
29618380491825461258553950014769208780162369421696347135427991058467953482148410150383305378746006 3295953130865498899613431270653675355719963049662085988905577456503721201507895819841043781348203
21197322458606037460961476336397568333564744258614943409109758298738727879025136411880907847615216 310893467943898439695474499366325991579694158009341906822025712834082283831266284098203892991340
24713790393215376186755873178011883524051657975873006339036724295065648335577547917690706149677458 5410722349459677990896378632364347097546787786042334732941841330927344981721797683167894141078736
33475053346017595415045380512606687868419025763636440014266554146107535568098114212309046447396065 14372609175521550289356812836327163796578689890757820706813961722547290580145998043259501245413329
32593216999410609480554311398672929427717820965253870090614526562694231175556679731632464999290961 6789009395139132085085686784494671123241911039611900376072835859153282722388920797969164947261761
29596032528405521315982816360044452750778516604450980792618087815852361130102237156681459500960909 3737715189178718057440443077839640431523665967954220815346426923762749663144867023484167620277810
32469609996690193805656059980589923973604069468744244296330068919866578646825428581026965802732172 8250983983282831461552533640399308411187417671206889803688459883849574219747405574861556325267555
23924221450681940807933906834022563737782081565839219956166909961397987310558382715495357999519251 1949643998460912081226753186428853482209462652698581647419670059257099181853826342489341043556220
25278169398821576415368605187032405699070031821429378281839892684430498454286079365415933020488026 5033172212034455765246641461764245920168723273928930320064953661792082720698566784099463625623261
18920510894285707075045050622413780620242934140158136780229764825719270995749210235802744468511899 3204475993630930571668705017730552583875133509500579798151271309480779612314124655507556423475806
21283957351479728241352052368586950412557583125164674135183750473429981986498464487341742223188543 3787891690511150976454585399479777607861284070390515841624257381195359361668637711725398119933792
30878531661643536139281470124735825362294366340721993348599574648774334859455408943383540462363798 10193358065718909126281863977679973936723589001069511105061507745189781974863566859437152300512643
33207519171438652358894736201565691096513390354869628092729617755818576259631164568298501554106413 11560275655183157599631216402890414555894968649566017412518848882290756432139985820278142247513774
31940966903292488537522204914445606075451105685265709239429363693827769490779848583691782981915733 1837740672304091125040298733440739565259192200514695215189810923549454686418226962784895884950839
33732102156748672533874199583223586010568628812225989834807804968664446980855983305671378058218563 13403999085745759439260319153370966960975197236304350541391043306008455498621358987342353996692894
31943941678749830619051683044365267408757685955490272264165554734837498967501487905282946037076044 14101951109311525215740325596078250389144111205149555538730450432739046088242901757539963352672452
28481695799464055708102003118921639658401246039884718936098783389763156431919510120992773597701291 9439810636621679902454840487144416187537710538176942507155726015252665593647108537293220397612641
26042483486519875622610874893098359041094169788106105062042777923666569687691426463784741994948340 15993469393533990316804884540588443399683256443336389808040442997695038240730524823262471579443705
33029914021629606788166228332469481207911424947880649810959467836597157943086117524429772690225521 9516850449529317534019024266951532854247981044909346284245730177107283956256397754533627968038299
23267492206871087780723691847098389161314587609727435337106469254700787615587847682139124199815248 5092919812865853177801308424364003729596016455140452127114773650559727039866285733470560992064296
22620817012517608847363734788526283644121991215242754641967565534932950779875787781528019120058972 9340683970484354130445506321163184954798589751631578202437003622824673793071186795445837792874282
32830868353845799591455236814288150974066859848390596801487078581549384397961836527208731361217351 13843680815103089253578415795330776454573385096949598489992423840528894848911834479837404889684618
19409734251123946645617477645501988802342864859227935602111679577498121490175578096532760810387895 15906232974547577052957115220334499376330647762136103959167161811837287354264467987056194361610464
18128280838709231197426680257478643022410776801264530704394275000052365294762920342643033085366426 10710920091362920908618181982615648022334562896094140277785291568939628201316753831305032412891383
19423029099411432761946944053542807336111194732669720784648349664137451514613984618221477063387624 5669216022251469475916842997497189023221789302356940749615189268826488609697075579069638708486491
34000220036143248488775808544409001289230724084283966655880079560825966584501061758463328455753439 15726465646339525881103364290950141417948869832963050634523529852695683668657137968591260740070275
